product_id,id,title,content,rating
162841495,20219061,Bình thường,Mới mua được hơn tháng đã hỏng,3
162841495,20085204,Không hài lòng,Hàng không như mong đợi lllllllll,2
162841495,19896362,Rất không hài lòng,"Giá ảo thế, mua hàng giá 630.000, giờ nhận hàng vào xem có 573.000 là sao",1
162841495,19908219,Bình thường,Hàng giá rẻ .nên tạm chấp nhận,3
162841495,16085500,Rất không hài lòng,Mô tả sp ghi sx ở Indonesia. Hàng giao đến thì sx ở Trung Quốc. Giống gạt khách hàng quá!,1
162841495,17902641,Bình thường,Máy quá yếu. Cạo không sạch,3
273310816,18145261,Rất không hài lòng,"Giao tới hàng bị cấn bể từ lúc nào, hộp thì nguyên vẹn mà mở ra thì sản phẩm bị cấn bể như vật nhọn rơi trực tiếp vào sp. App tiki thì giải quyết lâu lắc chả có cái gì rõ ràng. Đang cần dùng mà nhận lại sản phẩm chả ra sao. Tôi liên hệ ngay sau khi shipper giao xong chưa tới 5ph. Quá tệ quá thất vọng",1
273310816,16583647,Rất không hài lòng,"Hàng được đóng gói cẩn thận, máy mới có hoạt động. Nhưng chạy lờ đờ ko vắt được.  
Mình mua hàng qua app Tiki khá thường xuyên, nhưng lần này thất vọng quá. 😡",1
273310816,17187969,Rất không hài lòng,sản phẩm nhận quá tệ. không thể vắt cam được.  bỏ cam vào vắt có hoạt động nhưng cáo vắt màu cam nó không xoay. nó cứ kêu è è.  chán. tin tưởng các bình luận. mua về thử nó chạy. nhưng tới khi cắt cam bỏ vào vắt thử lại k chạy.,1
273310816,12565117,Rất không hài lòng,"Giao hàng rất rất lâu 🐌🐌🐌🐌🐌
1 tháng 1 ngày mới nhận đc. Dù chỉ giao trong nội đô Sài Gòn. Thật sự Ám Ảnh bởi tiki Trading và tiki fast . Tốn tiền đt gọi tổng đài( 1k/phút) cả chục lần vẫn không giải quyết đc vấn đề ngoài câu trả lời em sẽ lưu ý em sẽ ưu tiên đơn hàng này các kiểu bla bla....Tôi phải đặt thêm 1 đơn khác y như vậy( kiểu như Mồi Nhử ) thì 2 đơn hàng đều đc Luân Chuyển chuẩn bị giao dù đơn đầu tiên cách đơn thứ 2 gần 1 tháng... WTF ❓❓❓❓
Thử hỏi nếu tôi không đặt thêm đơn hàng kiểu Mồi Nhử như thế thì không biết năm thìn bão lụt nào tiki mới chịu giao hàng. Đừng đổ lỗi trong mùa dịch nhé. Đơn hàng tôi đặt cùng ngày trên shoppe đã giao từ lâu trong khi tiki vẫn loay hoay với trạng thái Chờ Xác Nhận. 
Một trãi nghiệm rất tệ từ tiki càng khẳng định đúng đắn hơn cho việc tôi chọn Shoppe từ lâu. Thân và chúc tiki Pro hơn.",1
273310816,12441708,Rất không hài lòng,"mua về vắt dc quả cam đầu tiên thì ổn. đến quả thứ 2 thì kêu to như máy xay, quả thứ 3 thì lúc ấn dc lúc không. giao hàng thì lâu cả nửa tháng mới đến. rồi thu hồi sp thì cũng k được rõ ràng, quy trình kém. Tiki cho trải nghiệm mua sắm cực kì kém, nhân viên chat hỗ trợ rất lâu. mua mỗi cái máy vắt cam mà cả tháng k xog. Mua bên *** chưa bh bị bực mình như thế này. không bao giờ mua hàng trên tiki nữa.",1
273310816,18988786,Rất không hài lòng,"Giờ mới khui hàng, bị bể mà mình nghĩ bên nhà bán cố tình gửi hàng bể chớ k thể để trong hộp mà bị bể như v đc, vì k thấy miếng bể trong hộp",1
273310816,6983058,Rất không hài lòng,"Hàng lock&lock mà bị nứt như vậy. đã trả sp và hoàn tiền. không hoàn voucher 30% của dành cho KH mới. mặc dù đây lỗi của tiki. 
những voucher khác cho thì nhiều không xài đc cái nào hết. thanh toán zalopay đc giảm nhưng chọn thì cũng chả đc gì. phí vc thì tính cho cao. lần đầu và cũng là lần cuối đặt hàng của tiki. bb",1
273310816,12650135,Rất không hài lòng,"Shop ơi, hàng có dán tem là ""chú ý hàng dễ vỡ"" mà bên trong lại không bọc chống sốc vậy, nhận hàng kiểm tra thấy vỡ mất cái cối với nắp rồi. Shop xem xét đổi hàng giúp mình.",1
273310816,13905710,Rất không hài lòng,Đóng gói và vận chuyển bị nứt thân máy. vắt đến quả thứ 3 coi như bị nhỏ nước ra ngoài không dùng được. Máy yếu nữa. Quá thất vọng về sản phẩm. Nghìn năm mới vào Tiki mua hàng mà lần nào cũng thất vọng!,1
273310816,13380712,Bình thường,"máy mới mua về mở hộp ra nghe tiếng lốc cốc bên trong, mở ra thấy nguyên con ốc bên trong, chân máy thấy cũ, có thể máy đổi trả bảo hành nên rẻ, mà mở chạy được nên không sao.",3
273310816,19266221,Bình thường,máy vắt mấy lần mà bị hư không quay được mong shop hỗ trợ ạ  máy mình mới mua 13/03/23,3
273310816,12431624,Rất không hài lòng,"Khui hộp ra thì Máy vắt cam bị bể tay cầm , mặc dù hộp đựng vẫn nguyên vẹn. Tiki đổi giúp cho máy khác nhé !",1
273310816,8236218,Bị vỡ nắp,"khui ra thấy bị bể cái nắp nhựa, nhưng đang cần gấp nên thôi xài luôn vì cái nắp cũng chỉ che bụi không ảnh hưởng việc sử dụng. Đánh giá để tiki rút kinh nghiệm vận chuyển, thấy có note rõ trên kiện hàng ""Hàng cực kỳ dễ vỡ"" mà rốt cuộc cũng bị vỡ!",3
